team1,team2,toss_winner,toss_decision,venue
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal"
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali"
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,JSCA International Stadium Complex
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali"
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Eden Gardens
Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Wankhede Stadium
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,Eden Gardens
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Brabourne Stadium
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,Wankhede Stadium
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,M Chinnaswamy Stadium
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Eden Gardens
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Maharashtra Cricket Association Stadium
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens
Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Wankhede Stadium
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium
Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,"Sardar Patel Stadium, Motera"
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Wankhede Stadium
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Maharashtra Cricket Association Stadium
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,"Sardar Patel Stadium, Motera"
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,"Sardar Patel Stadium, Motera"
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Sardar Patel Stadium, Motera"
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Wankhede Stadium
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Eden Gardens
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Wankhede Stadium
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Eden Gardens
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,M Chinnaswamy Stadium
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Brabourne Stadium
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Eden Gardens
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Wankhede Stadium
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk"
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,"Punjab Cricket Association Stadium, Mohali"
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Wankhede Stadium
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal"
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali"
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Brabourne Stadium
